Description,AssemblyDescription
"[PVC] 1/2"", Schedule 40, 10' S","1/2"" CONDUIT - PVC"
"3/4"" LIQUID TIGHT CONDUIT","3/4"" CONDUIT - FLEX"
"3/4"" RIGID CONDUIT","3/4"" CONDUIT - PVC"
"1/2"" SEALTIGHT","1/2"" CONDUIT - FLEX"
1-1/4 EMT CONDUIT,"1-1/4"" CONDUIT - EMT"
"3/4"" emt conduit","3/4"" CONDUIT - EMT"
1 IN. RIGID PIPE,"1"" CONDUIT - PVC"
[Metallic Flexible Conduit] St,UNK CONDUIT - FLEX
1”carflex,"1"" CONDUIT - FLEX"
"1-1/2"" pvc ma","1-1/2"" CONDUIT - PVC"
"4""PVC SCH 40","4"" CONDUIT - PVC"
"Blue ENT, 3/4"", 1000' Reel","3/4"" UNK"
3 1/2 IN. PVC SCH 40,"3-1/2"" CONDUIT - PVC"
1/2” CARFLEX,"1/2"" CONDUIT - FLEX"
EMT EL 1-1/2,"1-1/2"" CONDUIT - EMT"
"1"" PVC PIPE","1"" CONDUIT - PVC"
"PVC Coated Rigid Conduit, 2"",","2"" CONDUIT - PVC"
"Red EMT Conduit, 3/4""","3/4"" CONDUIT - EMT"
FLEX 4,"4"" CONDUIT - FLEX"
PVC 006272,UNK CONDUIT - PVC
2'' Seal Tight Flex,UNK CONDUIT - FLEX
"1/2"" Emt","1/2"" CONDUIT - EMT"
781 through thestudconduit sup,UNK UNK
"1"" PVC  (50 sticks)","1"" CONDUIT - PVC"
"1/2"" pvc T.A'S","1/2"" CONDUIT - PVC"
[Metallic Flexible Conduit] Al,UNK CONDUIT - FLEX
3/4 inch Greenfield flex STEEL,"3/4"" CONDUIT - FLEX"
1/2 aluminum flex,"1/2"" CONDUIT - FLEX"
"1/2"" ENT","1/2"" UNK"
3/4 emt pipe,"3/4"" CONDUIT - EMT"
"1"" pvc pipe","1"" CONDUIT - PVC"
Arlington SG3838AST AC/MC/Flex,UNK CONDUIT - FLEX
2 IN. SCHEDLE 80 PVC,"2"" CONDUIT - PVC"
"1"" sealtight","1"" CONDUIT - FLEX"
"1""     CONDUIT - EMT","1"" CONDUIT - EMT"
1/2” steel flex,"1/2"" CONDUIT - FLEX"
1/2 ent conduit Blue,"1/2"" CONDUIT - ENT"
1-1/4 PVC,"1-1/4"" CONDUIT - PVC"
